rewrite,nbre_car
saint-gingolph,14,Saint-Gingolph
saint-jean-d-aulps,18,Saint-Jean-d'Aulps
saint-jean-de-sixt,18,Saint-Jean-de-Sixt
saint-jean-de-tholome,21,Saint-Jean-de-Tholome
saint-jeoire,12,Saint-Jeoire
saint-jorioz,12,Saint-Jorioz
saint-julien-en-genevois,24,Saint-Julien-en-Genevois
saint-laurent,13,Saint-Laurent
saint-martin-bellevue,21,Saint-Martin-Bellevue
saint-paul-en-chablais,22,Saint-Paul-en-Chablais
saint-pierre-en-faucigny,24,Saint-Pierre-en-Faucigny
saint-sigismond,15,Saint-Sigismond
saint-sixt,10,Saint-Sixt
saint-sylvestre,15,Saint-Sylvestre
sales,5,Sales
sallanches,10,Sallanches
sallenoves,10,Sallenôves
samoens,7,Samoëns
savigny,7,Savigny
saxel,5,Saxel
scientrier,10,Scientrier
sciez,5,Sciez
scionzier,9,Scionzier
serraval,8,Serraval
servoz,6,Servoz
sevrier,7,Sévrier
seynod,6,Seynod
seyssel,7,Seyssel
seythenex,9,Seythenex
seytroux,8,Seytroux
sillingy,8,Sillingy
sixt-fer-a-cheval,17,Sixt-Fer-à-Cheval
talloires,9,Talloires
taninges,8,Taninges
thollon-les-memises,19,Thollon-les-Mémises
thones,6,Thônes
thonon-les-bains,16,Thonon-les-Bains
thorens-glieres,15,Thorens-Glières
thusy,5,Thusy
thyez,5,Thyez
usinens,7,Usinens
vacheresse,10,Vacheresse
vailly,6,Vailly
val-de-fier,11,Val-de-Fier
valleiry,8,Valleiry
vallieres,9,Vallières
vallorcine,10,Vallorcine
vanzy,5,Vanzy
vaulx,5,Vaulx
veigy-foncenex,14,Veigy-Foncenex
verchaix,8,Verchaix
vers,4,Vers
versonnex,9,Versonnex
vetraz-monthoux,15,Vétraz-Monthoux
veyrier-du-lac,14,Veyrier-du-Lac
villard,7,Villard
villaz,6,Villaz
ville-en-sallaz,15,Ville-en-Sallaz
ville-la-grand,14,Ville-la-Grand
villy-le-bouveret,17,Villy-le-Bouveret
villy-le-pelloux,16,Villy-le-Pelloux
vinzier,7,Vinzier
viry,4,Viry
viuz-en-sallaz,14,Viuz-en-Sallaz
viuz-la-chiesaz,15,Viuz-la-Chiésaz
vougy,5,Vougy
vovray-en-bornes,16,Vovray-en-Bornes
vulbens,7,Vulbens
yvoire,6,Yvoire
paris,5,Paris
allouville-bellefosse,21,Allouville-Bellefosse
alvimare,8,Alvimare
ambrumesnil,11,Ambrumesnil
amfreville-la-mi-voie,21,Amfreville-la-Mi-Voie
amfreville-les-champs,21,Amfreville-les-Champs
anceaumeville,13,Anceaumeville
ancourt,7,Ancourt
ancourteville-sur-hericourt,27,Ancourteville-sur-Héricourt
ancretieville-saint-victor,26,Ancretiéville-Saint-Victor
ancretteville-sur-mer,21,Ancretteville-sur-Mer
angerville-bailleul,19,Angerville-Bailleul
angerville-l-orcher,19,Angerville-l'Orcher
angerville-la-martel,20,Angerville-la-Martel
angiens,7,Angiens
anglesqueville-l-esneval,24,Anglesqueville-l'Esneval
anglesqueville-la-bras-long,27,Anglesqueville-la-Bras-Long
anneville-ambourville,21,Anneville-Ambourville
anneville-sur-scie,18,Anneville-sur-Scie
annouville-vilmesnil,20,Annouville-Vilmesnil
anquetierville,14,Anquetierville
anveville,9,Anvéville
ardouval,8,Ardouval
argueil,7,Argueil
arques-la-bataille,18,Arques-la-Bataille
assigny,7,Assigny
aubeguimont,11,Aubéguimont
aubermesnil-aux-erables,23,Aubermesnil-aux-Erables
aubermesnil-beaumais,20,Aubermesnil-Beaumais
auberville-la-campagne,22,Auberville-la-Campagne
auberville-la-manuel,20,Auberville-la-Manuel
auberville-la-renault,21,Auberville-la-Renault
auffay,6,Auffay
aumale,6,Aumale
auppegard,9,Auppegard
auquemesnil,11,Auquemesnil
authieux-ratieville,19,Authieux-Ratiéville
autigny,7,Autigny
autretot,8,Autretot
auvilliers,10,Auvilliers
auzebosc,8,Auzebosc
auzouville-auberbosc,20,Auzouville-Auberbosc
auzouville-l-esneval,20,Auzouville-l'Esneval
auzouville-sur-ry,17,Auzouville-sur-Ry
auzouville-sur-saane,20,Auzouville-sur-Saâne
avesnes-en-bray,15,Avesnes-en-Bray
avesnes-en-val,14,Avesnes-en-Val
avremesnil,10,Avremesnil
bacqueville-en-caux,19,Bacqueville-en-Caux
bailleul-neuville,17,Bailleul-Neuville
baillolet,9,Baillolet
bailly-en-riviere,17,Bailly-en-Rivière
baons-le-comte,14,Baons-le-Comte
bardouville,11,Bardouville
barentin,8,Barentin
baromesnil,10,Baromesnil
bazinval,8,Bazinval
beaubec-la-rosiere,18,Beaubec-la-Rosière
beaumont-le-hareng,18,Beaumont-le-Hareng
beaurepaire,11,Beaurepaire
beaussault,10,Beaussault
beautot,7,Beautot
beauval-en-caux,15,Beauval-en-Caux
beauvoir-en-lyons,17,Beauvoir-en-Lyons
bec-de-mortagne,15,Bec-de-Mortagne
belbeuf,7,Belbeuf
bellencombre,12,Bellencombre
bellengreville,14,Bellengreville
belleville-en-caux,18,Belleville-en-Caux
belleville-sur-mer,18,Belleville-sur-Mer
belmesnil,9,Belmesnil
benarville,10,Bénarville
benesville,10,Bénesville
bennetot,8,Bennetot
benouville,10,Bénouville
bermonville,11,Bermonville
berneval-le-grand,17,Berneval-le-Grand
bernieres,9,Bernières
bertheauville,13,Bertheauville
bertreville,11,Bertreville
bertreville-saint-ouen,22,Bertreville-Saint-Ouen
bertrimont,10,Bertrimont
berville,8,Berville
berville-sur-seine,18,Berville-sur-Seine
betteville,10,Betteville
beuzeville-la-grenier,21,Beuzeville-la-Grenier
beuzeville-la-guerard,21,Beuzeville-la-Guérard
beuzevillette,13,Beuzevillette
bezancourt,10,Bézancourt
bierville,9,Bierville
bihorel,7,Bihorel
biville-la-baignarde,20,Biville-la-Baignarde
biville-la-riviere,18,Biville-la-Rivière
biville-sur-mer,15,Biville-sur-Mer
blacqueville,12,Blacqueville
blainville-crevon,17,Blainville-Crevon
blangy-sur-bresle,17,Blangy-sur-Bresle
blosseville,11,Blosseville
bois-d-ennebourg,16,Bois-d'Ennebourg
bois-guilbert,13,Bois-Guilbert
bois-guillaume,14,Bois-Guillaume
bois-heroult,12,Bois-Héroult
bois-himont,11,Bois-Himont
bois-l-eveque,13,Bois-l'Evêque
boissay,7,Boissay
bolbec,6,Bolbec
bolleville,10,Bolleville
bonsecours,10,Bonsecours
boos,4,Boos
bordeaux-saint-clair,20,Bordeaux-Saint-Clair
bornambusc,10,Bornambusc
bosc-berenger,13,Bosc-Bérenger
bosc-bordel,11,Bosc-Bordel
bosc-edeline,12,Bosc-Edeline
bosc-guerard-saint-adrien,25,Bosc-Guérard-Saint-Adrien
bosc-hyons,10,Bosc-Hyons
bosc-le-hard,12,Bosc-le-Hard
bosc-mesnil,11,Bosc-Mesnil
bosc-roger-sur-buchy,20,Bosc-Roger-sur-Buchy
bosville,8,Bosville
boudeville,10,Boudeville
bouelles,8,Bouelles
bourdainville,13,Bourdainville
bourville,9,Bourville
bouville,8,Bouville
brachy,6,Brachy
bracquemont,11,Bracquemont
bracquetuit,11,Bracquetuit
bradiancourt,12,Bradiancourt
brametot,8,Brametot
breaute,7,Bréauté
bremontier-merval,17,Brémontier-Merval
bretteville-du-grand-caux,25,Bretteville-du-Grand-Caux
bretteville-saint-laurent,25,Bretteville-Saint-Laurent
brunville,9,Brunville
buchy,5,Buchy
bully,5,Bully
bures-en-bray,13,Bures-en-Bray
butot,5,Butot
butot-venesville,16,Butot-Vénesville
cailleville,11,Cailleville
cailly,6,Cailly
callengeville,13,Callengeville
calleville-les-deux-eglises,27,Calleville-les-Deux-Eglises
campneuseville,14,Campneuseville
canehan,7,Canehan
canouville,10,Canouville
canteleu,8,Canteleu
canville-les-deux-eglises,25,Canville-les-Deux-Eglises
cany-barville,13,Cany-Barville
carville-la-folletiere,22,Carville-la-Folletière
carville-pot-de-fer,19,Carville-Pot-de-Fer
catenay,7,Catenay
caudebec-en-caux,16,Caudebec-en-Caux
caudebec-les-elbeuf,19,Caudebec-lès-Elbeuf
cauville-sur-mer,16,Cauville-sur-Mer
cideville,9,Cideville
clais,5,Clais
clasville,9,Clasville
claville-motteville,19,Claville-Motteville
cleon,5,Cléon
cleres,6,Clères
cleuville,9,Cleuville
cleville,8,Cléville
cliponville,11,Cliponville
colleville,10,Colleville
colmesnil-manneville,20,Colmesnil-Manneville
compainville,12,Compainville
conteville,10,Conteville
contremoulins,13,Contremoulins
cottevrard,10,Cottévrard
crasville-la-mallet,19,Crasville-la-Mallet
crasville-la-rocquefort,23,Crasville-la-Rocquefort
cressy,6,Cressy
criel-sur-mer,13,Criel-sur-Mer
criquebeuf-en-caux,18,Criquebeuf-en-Caux
criquetot-l-esneval,19,Criquetot-l'Esneval
criquetot-le-mauconduit,23,Criquetot-le-Mauconduit
criquetot-sur-longueville,25,Criquetot-sur-Longueville
criquetot-sur-ouville,21,Criquetot-sur-Ouville
criquiers,9,Criquiers
critot,6,Critot
croisy-sur-andelle,18,Croisy-sur-Andelle
croix-mare,10,Croix-Mare
croixdalle,10,Croixdalle
cropus,6,Cropus
crosville-sur-scie,18,Crosville-sur-Scie
cuverville,10,Cuverville
cuverville-sur-yeres,20,Cuverville-sur-Yères
cuy-saint-fiacre,16,Cuy-Saint-Fiacre
dampierre-en-bray,17,Dampierre-en-Bray
dampierre-saint-nicolas,23,Dampierre-Saint-Nicolas
dancourt,8,Dancourt
darnetal,8,Darnétal
daubeuf-serville,16,Daubeuf-Serville
denestanville,13,Dénestanville
derchigny,9,Derchigny
deville-les-rouen,17,Déville-lès-Rouen
dieppe,6,Dieppe
doudeauville,12,Doudeauville
doudeville,10,Doudeville
douvrend,8,Douvrend
drosay,6,Drosay
duclair,7,Duclair
ecalles-alix,12,Ecalles-Alix
ecrainville,11,Ecrainville
ecretteville-les-baons,22,Ecretteville-lès-Baons
ecretteville-sur-mer,20,Ecretteville-sur-Mer
ectot-les-baons,15,Ectot-lès-Baons
elbeuf,6,Elbeuf
elbeuf-en-bray,14,Elbeuf-en-Bray
elbeuf-sur-andelle,18,Elbeuf-sur-Andelle
eletot,6,Eletot
ellecourt,9,Ellecourt
emanville,9,Emanville
envermeu,8,Envermeu
envronville,11,Envronville
epinay-sur-duclair,18,Epinay-sur-Duclair
epouville,9,Epouville
epretot,7,Epretot
epreville,9,Epreville
ermenouville,12,Ermenouville
ernemont-la-villette,20,Ernemont-la-Villette
ernemont-sur-buchy,18,Ernemont-sur-Buchy
esclavelles,11,Esclavelles
eslettes,8,Eslettes
esteville,9,Esteville
estouteville-ecalles,20,Estouteville-Ecalles
etaimpuis,9,Etaimpuis
etainhus,8,Etainhus
etalleville,11,Etalleville
etalondes,9,Etalondes
etoutteville,12,Etoutteville
etretat,7,Etretat
eu,2,Eu
fallencourt,11,Fallencourt
fauville-en-caux,16,Fauville-en-Caux
fecamp,6,Fécamp
ferrieres-en-bray,17,Ferrières-en-Bray
fesques,7,Fesques
flamanville,11,Flamanville
flamets-fretils,15,Flamets-Frétils
flocques,8,Flocques
fongueusemare,13,Fongueusemare
fontaine-en-bray,16,Fontaine-en-Bray
fontaine-la-mallet,18,Fontaine-la-Mallet
fontaine-le-bourg,17,Fontaine-le-Bourg
fontaine-le-dun,15,Fontaine-le-Dun
fontaine-sous-preaux,20,Fontaine-sous-Préaux
fontenay,8,Fontenay
forges-les-eaux,15,Forges-les-Eaux
foucarmont,10,Foucarmont
foucart,7,Foucart
franqueville-saint-pierre,25,Franqueville-Saint-Pierre
freauville,10,Fréauville
freneuse,8,Freneuse
fresles,7,Fresles
fresnay-le-long,15,Fresnay-le-Long
fresne-le-plan,14,Fresne-le-Plan
fresnoy-folny,13,Fresnoy-Folny
fresquiennes,12,Fresquiennes
freulleville,12,Freulleville
freville,8,Fréville
frichemesnil,12,Frichemesnil
froberville,11,Froberville
fry,3,Fry
fultot,6,Fultot
gaillefontaine,14,Gaillefontaine
gainneville,11,Gainneville
gancourt-saint-etienne,22,Gancourt-Saint-Etienne
ganzeville,10,Ganzeville
gerponville,11,Gerponville
gerville,8,Gerville
glicourt,8,Glicourt
goderville,10,Goderville
gommerville,11,Gommerville
gonfreville-caillot,19,Gonfreville-Caillot
gonfreville-l-orcher,20,Gonfreville-l'Orcher
gonnetot,8,Gonnetot
gonneville-la-mallet,20,Gonneville-la-Mallet
gonneville-sur-scie,19,Gonneville-sur-Scie
gonzeville,10,Gonzeville
gouchaupre,10,Gouchaupre
goupillieres,12,Goupillières
gournay-en-bray,15,Gournay-en-Bray
gouy,4,Gouy
graimbouville,13,Graimbouville
grainville-la-teinturiere,25,Grainville-la-Teinturière
grainville-sur-ry,17,Grainville-sur-Ry
grainville-ymauville,20,Grainville-Ymauville
grand-camp,10,Grand-Camp
grand-couronne,14,Grand-Couronne
grandcourt,10,Grandcourt
graval,6,Graval
greges,6,Grèges
gremonville,11,Grémonville
greny,5,Greny
greuville,9,Greuville
grigneuseville,14,Grigneuseville
gruchet-le-valasse,18,Gruchet-le-Valasse
gruchet-saint-simeon,20,Gruchet-Saint-Siméon
grugny,6,Grugny
grumesnil,9,Grumesnil
guerville,9,Guerville
gueures,7,Gueures
gueutteville,12,Gueutteville
gueutteville-les-gres,21,Gueutteville-les-Grès
guilmecourt,11,Guilmécourt
harcanville,11,Harcanville
harfleur,8,Harfleur
hattenville,11,Hattenville
haucourt,8,Haucourt
haudricourt,11,Haudricourt
haussez,7,Haussez
hautot-l-auvray,15,Hautot-l'Auvray
hautot-le-vatois,16,Hautot-le-Vatois
hautot-saint-sulpice,20,Hautot-Saint-Sulpice
hautot-sur-mer,14,Hautot-sur-Mer
hautot-sur-seine,16,Hautot-sur-Seine
heberville,10,Héberville
henouville,10,Hénouville
hericourt-en-caux,17,Héricourt-en-Caux
hermanville,11,Hermanville
hermeville,10,Hermeville
heronchelles,12,Héronchelles
heugleville-sur-scie,20,Heugleville-sur-Scie
heuqueville,11,Heuqueville
heurteauville,13,Heurteauville
hodeng-au-bosc,14,Hodeng-au-Bosc
hodeng-hodenger,15,Hodeng-Hodenger
houdetot,8,Houdetot
houppeville,11,Houppeville
houquetot,9,Houquetot
hugleville-en-caux,18,Hugleville-en-Caux
illois,6,Illois
imbleville,10,Imbleville
incheville,10,Incheville
ingouville,10,Ingouville
intraville,10,Intraville
isneauville,11,Isneauville
jumieges,8,Jumièges
la-belliere,11,"La Bellière"
la-bouille,10,"La Bouille"
la-cerlangue,12,"La Cerlangue"
la-chapelle-du-bourgay,22,"La Chapelle-du-Bourgay"
la-chapelle-saint-ouen,22,"La Chapelle-Saint-Ouen"
la-chapelle-sur-dun,19,"La Chapelle-sur-Dun"
la-chaussee,11,"La Chaussée"
la-crique,9,"La Crique"
la-ferte-saint-samson,21,"La Ferté-Saint-Samson"
la-feuillie,11,"La Feuillie"
la-folletiere,13,"La Folletière"
la-fontelaye,12,"La Fontelaye"
la-frenaye,10,"La Frénaye"
la-gaillarde,12,"La Gaillarde"
la-hallotiere,13,"La Hallotière"
la-haye,7,"La Haye"
la-houssaye-beranger,20,"La Houssaye-Béranger"
la-londe,8,"La Londe"
la-mailleraye-sur-seine,23,"La Mailleraye-sur-Seine"
la-neuville-chant-d-oisel,25,"La Neuville-Chant-d'Oisel"
la-poterie-cap-d-antifer,24,"La Poterie-Cap-d'Antifer"
la-remuee,9,"La Remuée"
la-rue-saint-pierre,19,"La Rue-Saint-Pierre"
la-trinite-du-mont,18,"La Trinité-du-Mont"
la-vaupaliere,13,"La Vaupalière"
la-vieux-rue,12,"La Vieux-Rue"
lamberville,11,Lamberville
lammerville,11,Lammerville
landes-vieilles-et-neuves,25,Landes-Vieilles-et-Neuves
lanquetot,9,Lanquetot
le-bocasse,10,"Le Bocasse"
le-bois-robert,14,"Le Bois-Robert"
le-bourg-dun,12,"Le Bourg-Dun"
le-catelier,11,"Le Catelier"
le-caule-sainte-beuve,21,"Le Caule-Sainte-Beuve"
le-fosse,8,"Le Fossé"
le-grand-quevilly,17,"Le Grand-Quevilly"
le-hanouard,11,"Le Hanouard"
le-havre,8,"Le Havre"
le-heron,8,"Le Héron"
le-houlme,9,"Le Houlme"
le-mesnil-durdent,17,"Le Mesnil-Durdent"
le-mesnil-esnard,16,"Le Mesnil-Esnard"
le-mesnil-lieubray,18,"Le Mesnil-Lieubray"
le-mesnil-reaume,16,"Le Mesnil-Réaume"
le-mesnil-sous-jumieges,23,"Le Mesnil-sous-Jumièges"
le-petit-quevilly,17,"Le Petit-Quevilly"
le-thil-riberpre,16,"Le Thil-Riberpré"
le-tilleul,10,"Le Tilleul"
le-torp-mesnil,14,"Le Torp-Mesnil"
le-trait,8,"Le Trait"
le-treport,10,"Le Tréport"
les-authieux-sur-le-port-saint-ouen,35,"Les Authieux-sur-le-Port-Saint-Ouen"
les-cent-acres,14,"Les Cent-Acres"
les-grandes-ventes,18,"Les Grandes-Ventes"
les-ifs,7,"Les Ifs"
les-loges,9,"Les Loges"
les-trois-pierres,17,"Les Trois-Pierres"
lestanville,11,Lestanville
lillebonne,10,Lillebonne
limesy,6,Limésy
limpiville,10,Limpiville
lindebeuf,9,Lindebeuf
lintot,6,Lintot
lintot-les-bois,15,Lintot-les-Bois
londinieres,11,Londinières
longmesnil,10,Longmesnil
longroy,7,Longroy
longueil,8,Longueil
longuerue,9,Longuerue
longueville-sur-scie,20,Longueville-sur-Scie
louvetot,8,Louvetot
lucy,4,Lucy
luneray,7,Luneray
malaunay,8,Malaunay
malleville-les-gres,19,Malleville-les-Grès
maneglise,9,Manéglise
manehouville,12,Manéhouville
maniquerville,13,Maniquerville
manneville-es-plains,20,Manneville-ès-Plains
manneville-la-goupil,20,Manneville-la-Goupil
mannevillette,13,Mannevillette
maromme,7,Maromme
marques,7,Marques
martainville-epreville,22,Martainville-Epreville
martigny,8,Martigny
martin-eglise,13,Martin-Eglise
massy,5,Massy
mathonville,11,Mathonville
maucomble,9,Maucomble
maulevrier-sainte-gertrude,26,Maulévrier-Sainte-Gertrude
mauny,5,Mauny
mauquenchy,10,Mauquenchy
melamare,8,Mélamare
melleville,10,Melleville
menerval,8,Ménerval
menonval,8,Ménonval
mentheville,11,Mentheville
mesangueville,13,Mésangueville
mesnieres-en-bray,17,Mesnières-en-Bray
mesnil-follemprise,18,Mesnil-Follemprise
mesnil-mauger,13,Mesnil-Mauger
mesnil-panneville,17,Mesnil-Panneville
mesnil-raoul,12,Mesnil-Raoul
meulers,7,Meulers
millebosc,9,Millebosc
mirville,8,Mirville
molagnies,9,Molagnies
monchaux-soreng,15,Monchaux-Soreng
monchy-sur-eu,13,Monchy-sur-Eu
mont-cauvaire,13,Mont-Cauvaire
mont-de-l-if,12,Mont-de-l'If
mont-saint-aignan,17,Mont-Saint-Aignan
monterolier,11,Montérolier
montigny,8,Montigny
montivilliers,13,Montivilliers
montmain,8,Montmain
montreuil-en-caux,17,Montreuil-en-Caux
montroty,8,Montroty
montville,9,Montville
morgny-la-pommeraye,19,Morgny-la-Pommeraye
morienne,8,Morienne
mortemer,8,Mortemer
morville-sur-andelle,20,Morville-sur-Andelle
motteville,10,Motteville
moulineaux,10,Moulineaux
muchedent,9,Muchedent
nesle-hodeng,12,Nesle-Hodeng
nesle-normandeuse,17,Nesle-Normandeuse
neuf-marche,11,Neuf-Marché
neufbosc,8,Neufbosc
neufchatel-en-bray,18,Neufchâtel-en-Bray
neuville-ferrieres,18,Neuville-Ferrières
neville,7,Néville
nointot,7,Nointot
nolleval,8,Nolléval
normanville,11,Normanville
norville,8,Norville
notre-dame-d-aliermont,22,Notre-Dame-d'Aliermont
notre-dame-de-bliquetuit,24,Notre-Dame-de-Bliquetuit
notre-dame-de-bondeville,24,Notre-Dame-de-Bondeville
notre-dame-de-gravenchon,24,Notre-Dame-de-Gravenchon
notre-dame-du-bec,17,Notre-Dame-du-Bec
notre-dame-du-parc,18,Notre-Dame-du-Parc
nullemont,9,Nullemont
ocqueville,10,Ocqueville
octeville-sur-mer,17,Octeville-sur-Mer
offranville,11,Offranville
oherville,9,Oherville
oissel,6,Oissel
omonville,9,Omonville
orival,6,Orival
osmoy-saint-valery,18,Osmoy-Saint-Valery
ouainville,10,Ouainville
oudalle,7,Oudalle
ourville-en-caux,16,Ourville-en-Caux
ouville-l-abbaye,16,Ouville-l'Abbaye
ouville-la-riviere,18,Ouville-la-Rivière
paluel,6,Paluel
parc-d-anxtot,13,Parc-d'Anxtot
pavilly,7,Pavilly
penly,5,Penly
petit-couronne,14,Petit-Couronne
petiville,9,Petiville
pierrecourt,11,Pierrecourt
pierrefiques,12,Pierrefiques
pierreval,9,Pierreval
pissy-poville,13,Pissy-Pôville
pleine-seve,11,Pleine-Sève
pommereux,9,Pommereux
pommereval,10,Pommeréval
ponts-et-marais,15,Ponts-et-Marais
preaux,6,Préaux
pretot-vicquemare,17,Prétot-Vicquemare
preuseville,11,Preuseville
puisenval,9,Puisenval
quevillon,9,Quevillon
quevreville-la-poterie,22,Quévreville-la-Poterie
quiberville,11,Quiberville
quievrecourt,12,Quièvrecourt
quincampoix,11,Quincampoix
raffetot,8,Raffetot
rainfreville,12,Rainfreville
realcamp,8,Réalcamp
rebets,6,Rebets
retonval,8,Rétonval
reuville,8,Reuville
ricarville,10,Ricarville
ricarville-du-val,17,Ricarville-du-Val
richemont,9,Richemont
rieux,5,Rieux
riville,7,Riville
robertot,8,Robertot
rocquefort,10,Rocquefort
rocquemont,10,Rocquemont
rogerville,10,Rogerville
rolleville,10,Rolleville
roncherolles-en-bray,20,Roncherolles-en-Bray
roncherolles-sur-le-vivier,26,Roncherolles-sur-le-Vivier
ronchois,8,Ronchois
rosay,5,Rosay
rouen,5,Rouen
roumare,7,Roumare
routes,6,Routes
rouville,8,Rouville
rouvray-catillon,16,Rouvray-Catillon
rouxmesnil-bouteilles,21,Rouxmesnil-Bouteilles
royville,8,Royville
ry,2,Ry
saane-saint-just,16,Saâne-Saint-Just
sahurs,6,Sahurs
sainneville,11,Sainneville
saint-aignan-sur-ry,19,Saint-Aignan-sur-Ry
saint-andre-sur-cailly,22,Saint-André-sur-Cailly
saint-antoine-la-foret,22,Saint-Antoine-la-Forêt
saint-arnoult,13,Saint-Arnoult
saint-aubin-celloville,22,Saint-Aubin-Celloville
saint-aubin-de-cretot,21,Saint-Aubin-de-Crétot
saint-aubin-epinay,18,Saint-Aubin-Epinay
saint-aubin-le-cauf,19,Saint-Aubin-le-Cauf
saint-aubin-les-elbeuf,22,Saint-Aubin-lès-Elbeuf
saint-aubin-routot,18,Saint-Aubin-Routot
saint-aubin-sur-mer,19,Saint-Aubin-sur-Mer
saint-aubin-sur-scie,20,Saint-Aubin-sur-Scie
saint-clair-sur-les-monts,25,Saint-Clair-sur-les-Monts
saint-crespin,13,Saint-Crespin
saint-denis-d-aclon,19,Saint-Denis-d'Aclon
saint-denis-le-thiboult,23,Saint-Denis-le-Thiboult
saint-denis-sur-scie,20,Saint-Denis-sur-Scie
saint-etienne-du-rouvray,24,Saint-Etienne-du-Rouvray
saint-eustache-la-foret,23,Saint-Eustache-la-Forêt
saint-georges-sur-fontaine,26,Saint-Georges-sur-Fontaine
saint-germain-d-etables,23,Saint-Germain-d'Etables
saint-germain-des-essourts,26,Saint-Germain-des-Essourts
saint-germain-sous-cailly,25,Saint-Germain-sous-Cailly
saint-germain-sur-eaulne,24,Saint-Germain-sur-Eaulne
saint-gilles-de-cretot,22,Saint-Gilles-de-Crétot
saint-gilles-de-la-neuville,27,Saint-Gilles-de-la-Neuville
saint-hellier,13,Saint-Hellier
saint-honore,12,Saint-Honoré
saint-jacques-d-aliermont,25,Saint-Jacques-d'Aliermont
saint-jacques-sur-darnetal,26,Saint-Jacques-sur-Darnétal
saint-jean-de-folleville,24,Saint-Jean-de-Folleville
saint-jean-de-la-neuville,25,Saint-Jean-de-la-Neuville
saint-jean-du-cardonnay,23,Saint-Jean-du-Cardonnay
saint-jouin-bruneval,20,Saint-Jouin-Bruneval
saint-laurent-de-brevedent,26,Saint-Laurent-de-Brèvedent
saint-laurent-en-caux,21,Saint-Laurent-en-Caux
saint-leger-aux-bois,20,Saint-Léger-aux-Bois
saint-leger-du-bourg-denis,26,Saint-Léger-du-Bourg-Denis
saint-leonard,13,Saint-Léonard
saint-maclou-de-folleville,26,Saint-Maclou-de-Folleville
saint-maclou-la-briere,22,Saint-Maclou-la-Brière
saint-mards,11,Saint-Mards
saint-martin-au-bosc,20,Saint-Martin-au-Bosc
saint-martin-aux-arbres,23,Saint-Martin-aux-Arbres
saint-martin-aux-buneaux,24,Saint-Martin-aux-Buneaux
saint-martin-de-boscherville,28,Saint-Martin-de-Boscherville
saint-martin-du-bec,19,Saint-Martin-du-Bec
saint-martin-du-manoir,22,Saint-Martin-du-Manoir
saint-martin-du-vivier,22,Saint-Martin-du-Vivier
saint-martin-en-campagne,24,Saint-Martin-en-Campagne
saint-martin-l-hortier,22,Saint-Martin-l'Hortier
saint-martin-le-gaillard,24,Saint-Martin-le-Gaillard
saint-martin-osmonville,23,Saint-Martin-Osmonville
saint-maurice-d-etelan,22,Saint-Maurice-d'Etelan
saint-michel-d-halescourt,25,Saint-Michel-d'Halescourt
saint-nicolas-d-aliermont,25,Saint-Nicolas-d'Aliermont
saint-nicolas-de-bliquetuit,27,Saint-Nicolas-de-Bliquetuit
saint-nicolas-de-la-haie,24,Saint-Nicolas-de-la-Haie
saint-nicolas-de-la-taille,26,Saint-Nicolas-de-la-Taille
saint-ouen-du-breuil,20,Saint-Ouen-du-Breuil
saint-ouen-le-mauger,20,Saint-Ouen-le-Mauger
saint-ouen-sous-bailly,22,Saint-Ouen-sous-Bailly
saint-paer,10,Saint-Paër
saint-pierre-benouville,23,Saint-Pierre-Bénouville
saint-pierre-de-manneville,26,Saint-Pierre-de-Manneville
saint-pierre-de-varengeville,28,Saint-Pierre-de-Varengeville
saint-pierre-des-jonquieres,27,Saint-Pierre-des-Jonquières
saint-pierre-en-port,20,Saint-Pierre-en-Port
saint-pierre-en-val,19,Saint-Pierre-en-Val
saint-pierre-lavis,18,Saint-Pierre-Lavis
saint-pierre-le-vieux,21,Saint-Pierre-le-Vieux
saint-pierre-le-viger,21,Saint-Pierre-le-Viger
saint-pierre-les-elbeuf,23,Saint-Pierre-lès-Elbeuf
saint-quentin-au-bosc,21,Saint-Quentin-au-Bosc
saint-remy-boscrocourt,22,Saint-Rémy-Boscrocourt
saint-riquier-en-riviere,24,Saint-Riquier-en-Rivière
saint-riquier-es-plains,23,Saint-Riquier-ès-Plains
saint-romain-de-colbosc,23,Saint-Romain-de-Colbosc
saint-saens,11,Saint-Saëns
saint-saire,11,Saint-Saire
saint-sauveur-d-emalleville,27,Saint-Sauveur-d'Emalleville
saint-sylvain,13,Saint-Sylvain
saint-vaast-d-equiqueville,26,Saint-Vaast-d'Equiqueville
saint-vaast-dieppedalle,23,Saint-Vaast-Dieppedalle
saint-vaast-du-val,18,Saint-Vaast-du-Val
saint-valery-en-caux,20,Saint-Valery-en-Caux
saint-victor-l-abbaye,21,Saint-Victor-l'Abbaye
saint-vigor-d-ymonville,23,Saint-Vigor-d'Ymonville
saint-vincent-cramesnil,23,Saint-Vincent-Cramesnil
saint-wandrille-rancon,22,Saint-Wandrille-Rançon
sainte-adresse,14,Sainte-Adresse
sainte-agathe-d-aliermont,25,Sainte-Agathe-d'Aliermont
sainte-austreberthe,19,Sainte-Austreberthe
sainte-beuve-en-riviere,23,Sainte-Beuve-en-Rivière
sainte-colombe,14,Sainte-Colombe
sainte-croix-sur-buchy,22,Sainte-Croix-sur-Buchy
sainte-foy,10,Sainte-Foy
sainte-genevieve,16,Sainte-Geneviève
sainte-helene-bondeville,24,Sainte-Hélène-Bondeville
