rewrite,nbre_car
assis-sur-serre,15,Assis-sur-Serre
athies-sous-laon,16,Athies-sous-Laon
attilly,7,Attilly
aubencheul-aux-bois,19,Aubencheul-aux-Bois
aubenton,8,Aubenton
aubigny-aux-kaisnes,19,Aubigny-aux-Kaisnes
aubigny-en-laonnois,19,Aubigny-en-Laonnois
audignicourt,12,Audignicourt
audigny,7,Audigny
augy,4,Augy
aulnois-sous-laon,17,Aulnois-sous-Laon
autremencourt,13,Autremencourt
autreppes,9,Autreppes
autreville,10,Autreville
azy-sur-marne,13,Azy-sur-Marne
bagneux,7,Bagneux
bancigny,8,Bancigny
barenton-bugny,14,Barenton-Bugny
barenton-cel,12,Barenton-Cel
barenton-sur-serre,18,Barenton-sur-Serre
barisis-aux-bois,16,Barisis-aux-Bois
barzy-en-thierache,18,Barzy-en-Thiérache
barzy-sur-marne,15,Barzy-sur-Marne
bassoles-aulers,15,Bassoles-Aulers
baulne-en-brie,14,Baulne-en-Brie
bazoches-sur-vesles,19,Bazoches-sur-Vesles
beaume,6,Beaumé
beaumont-en-beine,17,Beaumont-en-Beine
beaurevoir,10,Beaurevoir
beaurieux,9,Beaurieux
beautor,7,Beautor
beauvois-en-vermandois,22,Beauvois-en-Vermandois
becquigny,9,Becquigny
belleau,7,Belleau
bellenglise,11,Bellenglise
belleu,6,Belleu
bellicourt,10,Bellicourt
benay,5,Benay
bergues-sur-sambre,18,Bergues-sur-Sambre
berlancourt,11,Berlancourt
berlise,7,Berlise
bernot,6,Bernot
berny-riviere,13,Berny-Rivière
berrieux,8,Berrieux
berry-au-bac,12,Berry-au-Bac
bertaucourt-epourdon,20,Bertaucourt-Epourdon
berthenicourt,13,Berthenicourt
bertricourt,11,Bertricourt
berzy-le-sec,12,Berzy-le-Sec
besme,5,Besmé
besmont,7,Besmont
besny-et-loizy,14,Besny-et-Loizy
bethancourt-en-vaux,19,Béthancourt-en-Vaux
beugneux,8,Beugneux
beuvardes,9,Beuvardes
bezu-le-guery,13,Bézu-le-Guéry
bezu-saint-germain,18,Bézu-Saint-Germain
bichancourt,11,Bichancourt
bieuxy,6,Bieuxy
bievres,7,Bièvres
billy-sur-aisne,15,Billy-sur-Aisne
billy-sur-ourcq,15,Billy-sur-Ourcq
blanzy-les-fismes,17,Blanzy-lès-Fismes
blerancourt,11,Blérancourt
blesmes,7,Blesmes
bohain-en-vermandois,20,Bohain-en-Vermandois
bois-les-pargny,15,Bois-lès-Pargny
boncourt,8,Boncourt
bonneil,7,Bonneil
bonnesvalyn,11,Bonnesvalyn
bony,4,Bony
bosmont-sur-serre,17,Bosmont-sur-Serre
bouconville-vauclair,20,Bouconville-Vauclair
boue,4,Boué
bouffignereux,13,Bouffignereux
bouresches,10,Bouresches
bourg-et-comin,14,Bourg-et-Comin
bourguignon-sous-coucy,22,Bourguignon-sous-Coucy
bourguignon-sous-montbavin,26,Bourguignon-sous-Montbavin
braine,6,Braine
brancourt-en-laonnois,21,Brancourt-en-Laonnois
brancourt-le-grand,18,Brancourt-le-Grand
brasles,7,Brasles
bray-saint-christophe,21,Bray-Saint-Christophe
braye,5,Braye
