rewrite,nbre_car
neuville-sur-margival,21
neuvillette,11
nizy-le-comte,13
nogent-l-artaud,15
nogentel,8
noircourt,9
noroy-sur-ourcq,15
nouvion-et-catillon,19
nouvion-le-comte,16
nouvion-le-vineux,17
nouvron-vingre,14
noyales,7
noyant-et-aconin,16
oeuilly,7
ognes,5
ohis,4
oigny-en-valois,15
oisy,4
ollezy,6
omissy,6
orainville,10
orgeval,7
origny-en-thierache,19
origny-sainte-benoite,21
osly-courtil,12
ostel,5
oulches-la-vallee-foulon,24
oulchy-la-ville,15
oulchy-le-chateau,17
paars,5
paissy,6
pancy-courtecon,15
papleux,7
parcy-et-tigny,14
parfondeval,11
parfondru,9
pargnan,7
pargny-filain,13
pargny-la-dhuys,15
pargny-les-bois,15
parpeville,10
pasly,5
passy-en-valois,15
passy-sur-marne,15
pavant,6
perles,6
pernant,7
petit-verly,11
pierremande,11
pierrepont,10
pignicourt,10
pinon,5
pithon,6
pleine-selve,12
ploisy,6
plomion,7
ployart-et-vaurseine,20
pommiers,8
pont-arcy,9
pont-saint-mard,15
pontavert,9
pontru,6
pontruet,8
pouilly-sur-serre,17
premont,7
premontre,9
presles-et-boves,16
presles-et-thierny,18
priez,5
prisces,7
proisy,6
proix,5
prouvais,8
proviseux-et-plesnoy,20
puiseux-en-retz,15
puisieux-et-clanlieu,20
quierzy,7
quincy-basse,12
quincy-sous-le-mont,19
raillimont,10
ramicourt,9
regny,5
remaucourt,10
remies,6
remigny,7
renansart,9
renneval,8
resigny,7
ressons-le-long,15
retheuil,8
reuilly-sauvigny,16
revillon,8
ribeauville,11
ribemont,8
rocourt-saint-martin,20
rocquigny,9
rogecourt,9
rogny,5
romeny-sur-marne,16
romery,6
roncheres,9
roucy,5
rougeries,9
roupy,5
rouvroy,7
rouvroy-sur-serre,17
royaucourt-et-chailvet,22
rozet-saint-albin,17
rozieres-sur-crise,18
rozoy-bellevalle,16
rozoy-sur-serre,15
saconin-et-breuil,17
sains-richaumont,16
saint-agnan,11
saint-algis,11
saint-aubin,11
saint-bandry,12
saint-christophe-a-berry,24
saint-clement,13
saint-erme-outre-et-ramecourt,29
saint-eugene,12
saint-gengoulph,15
saint-gobain,12
saint-gobert,12
saint-mard,10
saint-martin-riviere,20
saint-michel,12
saint-nicolas-aux-bois,22
saint-paul-aux-bois,19
saint-pierre-aigle,18
saint-pierre-les-franqueville,29
saint-pierremont,16
saint-quentin,13
saint-remy-blanzy,17
saint-simon,11
saint-thibaut,13
saint-thomas,12
sainte-croix,12
sainte-genevieve,16
sainte-preuve,13
samoussy,8
sancy-les-cheminots,19
saponay,7
saulchery,9
savy,4
seboncourt,10
selens,6
septmonts,9
septvaux,8
sequehart,9
serain,6
seraucourt-le-grand,19
serches,7
sergy,5
seringes-et-nesles,18
sermoise,8
servais,7
serval,6
sery-les-mezieres,17
silly-la-poterie,16
sinceny,7
sissonne,8
sissy,5
soissons,8
soize,5
sommelans,9
sommeron,8
sommette-eaucourt,17
sons-et-roncheres,17
sorbais,7
soucy,5
soupir,6
surfontaine,11
suzy,4
taillefontaine,14
tannieres,9
tartiers,8
tavaux-et-pontsericourt,23
tergnier,8
terny-sorny,11
thenailles,10
thenelles,9
thiernu,7
torcy-en-valois,15
toulis-et-attencourt,20
travecy,7
trefcon,7
trelou-sur-marne,16
troesnes,8
trosly-loire,12
trucy,5
tugny-et-pont,13
tupigny,7
ugny-le-gay,11
urcel,5
urvillers,9
vadencourt,10
vailly-sur-aisne,16
variscourt,10
vassens,7
vasseny,7
vassogne,8
vaucelles-et-beffecourt,23
vaudesson,9
vaux-andigny,12
vaux-en-vermandois,18
vauxaillon,10
vauxbuin,8
vauxcere,8
vauxrezis,9
vauxtin,7
vendelles,9
vendeuil,8
vendhuile,9
vendieres,9
vendresse-beaulne,17
venerolles,10
venizel,7
verdilly,8
vermand,7
verneuil-sous-coucy,19
verneuil-sur-serre,18
versigny,8
vervins,7
vesles-et-caumont,17
veslud,6
veuilly-la-poterie,18
vezaponin,9
vezilly,7
vic-sur-aisne,13
vichel-nanteuil,15
viel-arcy,9
viels-maisons,13
vierzy,6
viffort,7
vigneux-hocquet,15
ville-savoye,12
villemontoire,13
villeneuve-saint-germain,24
villeneuve-sur-fere,19
villequier-aumont,17
villeret,8
villers-agron-aiguizy,21
villers-cotterets,17
villers-en-prayeres,19
villers-helon,13
villers-le-sec,14
villers-les-guise,17
villers-saint-christophe,24
villers-sur-fere,16
villiers-saint-denis,20
vincy-reuil-et-magny,20
viry-noureuil,13
vivaise,7
vivieres,8
voharies,8
vorges,6
voulpaix,8
voyenne,7
vregny,6
vuillery,8
wassigny,8
watigny,7
wiege-faty,10
wimy,4
wissignicourt,13
abrest,6
agonges,7
ainay-le-chateau,16
andelaroche,11
archignat,9
arfeuilles,10
arpheuilles-saint-priest,24
arronnes,8
aubigny,7
audes,5
aurouer,7
autry-issards,13
avermes,7
avrilly,7
bagneux,7
barberier,9
barrais-bussolles,17
bayet,5
beaulon,7
beaune-d-allier,15
begues,6
bellenaves,10
bellerive-sur-allier,20
bert,4
bessay-sur-allier,17
besson,6
bezenet,7
billezois,9
billy,5
biozat,6
bizeneuille,11
blomard,7
bost,4
bouce,5
bourbon-l-archambault,21
braize,6
bransat,7
bresnay,7
bressolles,10
brout-vernet,12
brugheas,8
busset,6
buxieres-les-mines,18
cerilly,7
cesset,6
chamberat,9
chamblet,8
chantelle,9
chapeau,7
chappes,7
chareil-cintrat,15
charmeil,8
charmes,7
charroux,8
chassenard,10
chateau-sur-allier,18
chatel-de-neuvre,16
chatel-montagne,15
chatelperron,12
chatelus,8
chatillon,9
chavenon,8
chavroches,10
chazemais,9
chemilly,8
chevagnes,9
chezelle,8
chezy,5
chirat-l-eglise,15
chouvigny,9
cindre,6
cognat-lyonne,13
colombier,9
commentry,9
contigny,8
cosne-d-allier,14
coulandon,9
coulanges,9
couleuvre,9
courcais,8
coutansouze,11
couzon,6
crechy,6
cressanges,10
creuzier-le-neuf,16
creuzier-le-vieux,17
cusset,6
deneuille-les-chantelle,23
deneuille-les-mines,19
desertines,10
deux-chaises,12
diou,4
domerat,7
dompierre-sur-besbre,20
doyet,5
droiturier,10
durdat-larequille,17
ebreuil,7
echassieres,11
escurolles,10
espinasse-vozelle,17
estivareilles,13
etroussat,9
ferrieres-sur-sichon,20
fleuriel,8
fourilles,9
franchesse,10
gannat,6
gannay-sur-loire,16
garnat-sur-engievre,19
gennetines,10
gipcy,5
givarlais,9
gouise,6
hauterive,9
herisson,8
huriel,6
hyds,4
isle-et-bardais,15
isserpent,9
jaligny-sur-besbre,18
jenzat,6
la-celle,8
la-chabanne,11
la-chapelaude,13
la-chapelle,11
la-chapelle-aux-chasses,23
la-ferte-hauterive,18
la-guillermie,13
la-petite-marche,16
lafeline,8
lalizolle,9
lamaids,7
langy,5
lapalisse,9
laprugne,8
lavault-sainte-anne,19
lavoine,7
le-bouchaud,11
le-brethon,10
le-breuil,9
le-donjon,9
le-mayet-d-ecole,16
le-mayet-de-montagne,20
le-montet,9
le-pin,6
le-theil,8
le-vernet,9
le-veurdre,10
le-vilhain,10
lenax,5
letelon,7
liernolles,10
lignerolles,11
limoise,7
loddes,6
loriges,7
louchy-montfand,15
louroux-bourbonnais,19
louroux-de-beaune,17
louroux-de-bouble,17
louroux-hodement,16
luneau,6
lurcy-levis,11
lusigny,7
magnet,6
maillet,7
malicorne,9
marcenat,8
marcillat-en-combraille,23
marigny,7
mariol,6
mazerier,8
mazirat,7
meaulne,7
meillard,8
meillers,8
mercy,5
mesples,7
molinet,7
molles,6
monestier,9
monetay-sur-allier,18
monetay-sur-loire,17
montaigu-le-blin,16
montaiguet-en-forez,19
montbeugny,10
montcombroux-les-mines,22
monteignet-sur-l-andelot,24
montilly,8
montlucon,9
montmarault,11
montoldre,9
montord,7
montvicq,8
moulins,7
murat,5
nades,5
nassigny,8
naves,5
neris-les-bains,15
neuilly-en-donjon,17
neuilly-le-real,15
neure,5
neuvy,5
nizerolles,10
noyant-d-allier,15
paray-le-fresil,15
paray-sous-briailles,20
perigny,7
pierrefitte-sur-loire,21
poezat,6
pouzy-mesangy,13
premilhat,9
quinssaines,11
reugny,6
rocles,6
rongeres,8
ronnet,6
saint-angel,11
saint-aubin-le-monial,21
saint-bonnet-de-four,20
saint-bonnet-de-rochefort,25
saint-bonnet-troncais,21
saint-caprais,13
saint-christophe,16
saint-clement,13
saint-desire,12
saint-didier-en-donjon,22
saint-didier-la-foret,21
saint-eloy-d-allier,19
saint-ennemond,14
saint-etienne-de-vicq,21
saint-fargeol,13
saint-felix,11
saint-genest,12
saint-gerand-de-vaux,20
saint-gerand-le-puy,19
saint-germain-de-salles,23
saint-germain-des-fosses,24
saint-hilaire,13
saint-leger-sur-vouzance,24
saint-leon,10
saint-leopardin-d-augy,22
saint-loup,10
saint-marcel-en-marcillat,25
saint-marcel-en-murat,21
saint-martin-des-lais,21
saint-martinien,15
saint-menoux,12
saint-nicolas-des-biefs,23
saint-palais,12
saint-pierre-laval,18
saint-plaisir,13
saint-pont,10
saint-pourcain-sur-besbre,25
saint-pourcain-sur-sioule,25
saint-priest-d-andelot,22
saint-priest-en-murat,21
saint-prix,10
saint-remy-en-rollat,20
saint-sauvier,13
saint-sornin,12
saint-victor,12
saint-voir,10
saint-yorre,11
sainte-therence,15
saligny-sur-roudon,18
sanssat,7
saulcet,7
saulzet,7
sauvagny,8
sazeret,7
serbannes,9
servilly,8
seuillet,8
sorbier,7
souvigny,8
sussat,6
target,6
taxat-senat,11
teillet-argenty,15
terjat,6
theneuille,10
thiel-sur-acolin,16
thionne,7
tortezais,9
toulon-sur-allier,17
treban,6
treignat,8
treteau,7
trevol,6
trezelles,9
tronget,7
urcay,5
ussel-d-allier,14
valignat,8
valigny,7
vallon-en-sully,15
varennes-sur-allier,19
varennes-sur-teche,18
vaumas,6
vaux,4
veauce,6
venas,5
vendat,6
verneix,7
verneuil-en-bourbonnais,23
vernusse,8
vichy,5
vicq,4
vieure,6
villebret,9
villefranche-d-allier,21
villeneuve-sur-allier,21
viplaix,7
vitray,6
voussac,7
ygrande,7
yzeure,6
aiglun,6
allemagne-en-provence,21
allons,6
allos,5
angles,6
annot,5
archail,7
aubenas-les-alpes,17
aubignosc,9
authon,6
auzet,5
banon,5
barcelonnette,13
barles,6
barras,6
barreme,7
bayons,6
beaujeu,7
beauvezer,9
bellaffaire,11
bevons,6
beynes,6
blieux,6
bras-d-asse,11
braux,5
brunet,6
castellane,10
castellet-les-sausses,21
cereste,7
champtercier,12
chateau-arnoux-saint-auban,26
chateaufort,11
chateauneuf-miravail,20
chateauneuf-val-saint-donat,27
chateauredon,12
chaudon-norante,15
clamensane,10
claret,6
clumanc,7
