rewrite,gentile_f_ville,nbre_car
clastroise,Clastroise,10
coeuvreenne,Coeuvréenne,11
conciacienne,Conciacienne,12
commenchonoise,Commenchonoise,14
concevreusienne,Concevreusienne,15
condeenne,Condéenne,9
condeenne,Condéenne,9
condrinoise,Condrinoise,11
connigeoise,Connigeoise,11
corbenienne,Corbenienne,11
coucyssoise,Coucyssoise,11
coucycoise,Coucycoise,10
coulongeoise,Coulongeoise,12
couprusienne,Couprusienne,12
courmelloise,Courmelloise,12
varennoise,Varennoise,10
courtrizienne,Courtrizienne,13
coveronnaise,Covéronnaise,12
coyollaise,Coyollaise,10
craonnaise,Craonnaise,10
craonneloise,Craonneloise,12
crecoise,Créçoise,8
crepynoise,Crépynoise,10
crezancoise,Crézançoise,11
crucifonsommoise,Crucifonsommoise,16
crouttoise,Crouttoise,10
crouyssienne,Crouyssienne,12
cufficienne,Cufficienne,11
cuirolienne,Cuirolienne,11
cuiry-houssienne,Cuiry-Houssienne,16
cuiryenne,Cuiryenne,9
cuissyacoise,Cuissyacoise,12
montecussienne,Montécussienne,14
cutryacoise,Cutryacoise,11
dallonoise,Dallonoise,10
dammardoise,Dammardoise,11
damloupienne,Damloupienne,12
danizienne,Danizienne,10
dizoise,Dizoise,7
dommarienne,Dommarienne,11
domptinoise,Domptinoise,11
dorengtoise,Dorengtoise,11
douchissoise,Douchissoise,12
ebouleausienne,Ebouleausienne,14
spanicienne,Spanicienne,11
palusienne,Palusienne,10
spicarienne,Spicarienne,11
eppoise,Eppoise,7
erlonaise,Erlonaise,9
essignaquoise,Essignaquoise,13
essignyacoise,Essignyacoise,13
essisoise,Essisoise,9
essomoise,Essomoise,9
etampoise,Etampoise,9
etreaupontoise,Etréaupontoise,14
etreilloise,Etreilloise,11
etreusienne,Etreusienne,11
evergnicourtoise,Evergnicourtoise,16
fucoldcurtissienne,Fucoldcurtissienne,18
fayelloise,Fayelloise,10
feroise,Féroise,7
festeolienne,Festéolienne,12
fieulainoise,Fieulainoise,12
flavienne,Flavienne,9
fluquieroise,Fluquièroise,12
folembraysienne,Folembraysienne,15
fonsommoise,Fonsommoise,11
fontenelloise,Fontenelloise,13
fontenaise,Fontenaise,10
fontenovicienne,Fontenovicienne,15
fossoyenne,Fossoyenne,10
fourdrinoise,Fourdrinoise,12
francilloise,Francilloise,12
fresnoise,Fresnoise,9
fresnoysienne,Fresnoysienne,13
fressancourtoise,Fressancourtoise,16
frieroise,Frièroise,9
gandelusienne,Gandelusienne,13
gasiaquoise,Gasiaquoise,11
germainoise,Germainoise,11
gernicourtoise,Gernicourtoise,14
gizycienne,Gizycienne,10
glamoise,Glamoise,8
glennoise,Glennoise,9
goudelancourtoise,Goudelancourtoise,17
goudelancourtoise,Goudelancourtoise,17
goussancourtoise,Goussancourtoise,16
goicienne,Goïcienne,9
verlyssienne,Verlyssienne,12
grandlupoise,Grandlupoise,12
gricourtoise,Gricourtoise,12
grisolloise,Grisolloise,11
grugeoise,Grugeoise,9
guignicourtoise,Guignicourtoise,15
guisarde,Guisarde,8
guyencourtoise,Guyencourtoise,14
haramontoise,Haramontoise,12
hargicourtoise,Hargicourtoise,14
harlysienne,Harlysienne,11
hartennoise,Hartennoise,11
hautevesnoise,Hautevesnoise,13
hautevilloise,Hautevilloise,13
hirsonnaise,Hirsonnaise,11
holnonaise,Holnonaise,10
homblieroise,Hombliéroise,12
houssetoise,Houssetoise,11
ironnaise,Ironnaise,9
itancourtoise,Itancourtoise,13
jaulgonnaise,Jaulgonnaise,12
jeancourtoise,Jeancourtoise,13
joncourtoise,Joncourtoise,12
jumencourtoise,Jumencourtoise,14
jumignyacoise,Jumignyacoise,13
jovinienne,Jovinienne,10
juvincourtoise,Juvincourtoise,14
capelloise,Capelloise,10
odonienne,Odonienne,9
laferoise,Laféroise,9
fertoise,Fertoise,8
milonaise,Milonaise,9
flamengroise,Flamengroise,12
malmaisonaise,Malmaisonaise,13
selvoise,Selvoise,8
valmuletiere,Valmuletière,12
villeboisienne,Villeboisienne,14
flaconiere,Flaconière,10
landouzienne,Landouzienne,12
laonnoise,Laonnoise,9
lappionnaise,Lappionnaise,12
launoyenne,Launoyenne,10
laversinoise,Laversinoise,12
catelesienne,Catelésienne,12
le-haucourtoise,"Le Haucourtoise",15
nouvionnaise,Nouvionnaise,12
sourdoise,Sourdoise,9
virgultoise,Virgultoise,11
elmeroise,Elméroise,9
lempiroise,Lempiroise,10
lerzyenne,Lerzyenne,9
auteloise,Auteloise,9
leschelloise,Leschelloise,12
lesdinoise,Lesdinoise,10
lesquielloise,Lesquielloise,13
leuilloise,Leuilloise,10
levergeoise,Levergeoise,11
liessoise,Liessoise,9
liezoise,Liezoise,8
lisletoise,Lisletoise,10
lizienne,Lizienne,8
longipontaine,Longipontaine,13
longuevalloise,Longuevalloise,14
loriotte,Loriotte,8
loupeignoise,Loupeignoise,12
berlote,Berlote,7
luzoirienne,Luzoirienne,11
machecourtoise,Mâchecourtoise,14
macquignyquoise,Macquignyquoise,15
magnyfossienne,Magnyfossienne,14
maissemiacoise,Maissemiacoise,14
maziacaise,Maziacaise,10
manicampoise,Manicampoise,12
marchaisienne,Marchaisienne,13
mareuilloise,Mareuilloise,12
marloise,Marloise,8
marlysienne,Marlysienne,11
mal-peignee,Mal-Peignée,11
mauregnycienne,Mauregnycienne,14
mayotaine,Mayotaine,9
mennevilloise,Mennevilloise,13
mennevrezienne,Mennevrézienne,14
mercinoise,Mercinoise,10
merilocienne,Mérilocienne,12
mesbrecourtoise,Mesbrecourtoise,15
meurivaloise,Meurivaloise,12
macerienne,Macérienne,10
missyacoise,Missyacoise,11
axo-missienne,Axo-Missienne,13
lupimoncellienne,Lupimoncellienne,16
monceenne,Moncéenne,9
mondrepuisienne,Mondrepuisienne,15
montoise,Montoise,8
orignyquoise,Orignyquoise,12
mont-nostradamienne,Mont-Nostradamienne,19
montepierrine,Montépierrine,13
montacutaine,Montacutaine,12
montbavinoise,Montbavinoise,13
montbrehainoise,Montbrehainoise,15
montcornetoise,Montcornetoise,14
montescourtoise,Montescourtoise,15
montgobertoise,Montgobertoise,14
montgruaine,Montgruaine,11
monthieroise,Monthiéroise,12
monthurelloise,Monthurelloise,14
montignyaquoise,Montignyaquoise,15
ignymontaine,Ignymontaine,12
montignaise,Montignaise,11
montlevonicienne,Montlevonicienne,16
montreuilloise,Montreuilloise,14
morcourtoise,Morcourtoise,12
morsainoise,Morsainoise,11
mortefontainoise,Mortefontainoise,16
moulinoise,Moulinoise,10
moussyacoise,Moussyacoise,12
muretaine,Muretaine,9
muscourtoise,Muscourtoise,12
