rewrite,gentile_f_ville
revilloises-et-sauvignate,"Révilloises et Sauvignate"
revillonaise,Révillonaise
ribemontoise,Ribemontoise
rocourtoise,Rocourtoise
rocquignienne,Rocquignienne
rogecourtoise,Rogécourtoise
romenyate,Romenyate
romaine,Romaine
roucyenne,Roucyenne
royaucourtoise,Royaucourtoise
rozieroise,Roziéroise
rostande,Rostande
saconoise,Saconoise
sainsoise,Sainsoise
augisoise,Augisoise
saint-christophoise,Saint-Christophoise
saint-ermoise,Saint-Ermoise
saint-eugenoise,Saint-Eugénoise
saint-gengoulphoise,Saint-Gengoulphoise
gobanaise,Gobanaise
saint-gobertoise,Saint-Gobertoise
saint-michelloise,Saint-Michelloise
saint-pierroise,Saint-Pierroise
saint-quentinoise,Saint-Quentinoise
saint-simonienne,Saint-Simonienne
saint-thomasienne,Saint-Thomasienne
saint-croisienne,Saint-Croisienne
sainte-preuvienne,Sainte-Preuvienne
sancysienne,Sancysienne
saulcherienne,Saulcherienne
savignonne,Savignonne
seboncourtoise,Seboncourtoise
septmontoise,Septmontoise
septvalienne,Septvalienne
sequehartoise,Sequehartoise
serainoise,Serainoise
seraucourtoise,Seraucourtoise
serchoise,Serchoise
sermoisienne,Sermoisienne
serysienne,Sérysienne
sincenoise,Sincenoise
sissonnaise,Sissonnaise
sissiaquoise,Sissiaquoise
soissonnaise,Soissonnaise
sorbaisienne,Sorbaisienne
sulceenne,Sulcéenne
taveloise,Taveloise
ternoise,Ternoise
thenelloise,Thenelloise
toulisienne,Toulisienne
travecyenne,Travecyenne
trefconnaise,Trefconnaise
trucyenne,Trucyenne
tupignienne,Tupignienne
urceloise,Urceloise
urvilloise,Urvilloise
vadencourtoise,Vadencourtoise
vaillysienne,Vaillysienne
variscourtoise,Variscourtoise
vassognaise,Vassognaise
vaucelloise,Vaucelloise
vaudessonnaise,Vaudessonnaise
vauxoise,Vauxoise
vauxaillonnaise,Vauxaillonnaise
vauxbuinoise,Vauxbuinoise
malresienne,Malrésienne
vendelloise,Vendelloise
vendeuilloise,Vendeuilloise
vendolesienne,Vendolésienne
vendressoise,Vendressoise
venerollaise,Vénérollaise
venizelloise,Venizelloise
verdillate,Verdillate
vermandoise,Vermandoise
verneuilloise,Verneuilloise
versignienne,Versignienne
vervinoise,Vervinoise
vesloise,Vesloise
vezaponienne,Vézaponienne
vicoise,Vicoise
vicheloise,Vicheloise
vieux-montoise,Vieux-Montoise
vierzoise,Vierzoise
viffortoise,Viffortoise
villemontoirienne,Villemontoirienne
villeneuvoise,Villeneuvoise
genlisienne,Genlisienne
villeretoise,Villeretoise
cotterezienne,Cotterézienne
villeroise,Villeroise
villeroise,Villeroise
villieroise,Villiéroise
viroise,Viroise
vivaisoise,Vivaisoise
vivieroise,Viviéroise
vorgienne,Vorgienne
voulpaisienne,Voulpaisienne
voyennaise,Voyennaise
vregnysienne,Vregnysienne
wassignienne,Wassignienne
wimyenne,Wimyenne
wissignicourtoise,Wissignicourtoise
abrestoise,Abrestoise
agongeoise,Agongeoise
castelainaisienne,Castelainaisienne
andelarochoise,Andelarochoise
archignacoise,Archignacoise
arfeuillate,Arfeuillate
arpheuillaise,Arpheuillaise
arronnaise,Arronnaise
audoise,Audoise
auroueroise,Aurouëroise
issardienne,Issardienne
avermoise,Avermoise
avrilloise,Avrilloise
bagnolaise,Bagnolaise
barraisienne,Barraisienne
bayetoise,Bayétoise
beaulonnaise,Beaulonnaise
beaunoise,Beaunoise
beguoise,Béguoise
bellenavoise,Bellenavoise
bellerivoise,Bellerivoise
bertoise,Bertoise
bessaytoise,Bessaytoise
bessonnaise,Bessonnaise
bezenetoise,Bézenétoise
billezoissienne,Billezoissienne
billyssoise,Billyssoise
