rewrite,nom_ville
aubigny-aux-kaisnes,Aubigny-aux-Kaisnes
aubigny-en-laonnois,Aubigny-en-Laonnois
audignicourt,Audignicourt
audigny,Audigny
augy,Augy
aulnois-sous-laon,Aulnois-sous-Laon
autremencourt,Autremencourt
autreppes,Autreppes
autreville,Autreville
azy-sur-marne,Azy-sur-Marne
bagneux,Bagneux
bancigny,Bancigny
barenton-bugny,Barenton-Bugny
barenton-cel,Barenton-Cel
barenton-sur-serre,Barenton-sur-Serre
barisis-aux-bois,Barisis-aux-Bois
barzy-en-thierache,Barzy-en-Thiérache
barzy-sur-marne,Barzy-sur-Marne
bassoles-aulers,Bassoles-Aulers
baulne-en-brie,Baulne-en-Brie
bazoches-sur-vesles,Bazoches-sur-Vesles
beaume,Beaumé
beaumont-en-beine,Beaumont-en-Beine
beaurevoir,Beaurevoir
beaurieux,Beaurieux
beautor,Beautor
beauvois-en-vermandois,Beauvois-en-Vermandois
becquigny,Becquigny
belleau,Belleau
bellenglise,Bellenglise
belleu,Belleu
bellicourt,Bellicourt
benay,Benay
bergues-sur-sambre,Bergues-sur-Sambre
berlancourt,Berlancourt
berlise,Berlise
bernot,Bernot
berny-riviere,Berny-Rivière
berrieux,Berrieux
berry-au-bac,Berry-au-Bac
bertaucourt-epourdon,Bertaucourt-Epourdon
berthenicourt,Berthenicourt
bertricourt,Bertricourt
berzy-le-sec,Berzy-le-Sec
besme,Besmé
besmont,Besmont
besny-et-loizy,Besny-et-Loizy
bethancourt-en-vaux,Béthancourt-en-Vaux
beugneux,Beugneux
beuvardes,Beuvardes
bezu-le-guery,Bézu-le-Guéry
bezu-saint-germain,Bézu-Saint-Germain
bichancourt,Bichancourt
bieuxy,Bieuxy
bievres,Bièvres
billy-sur-aisne,Billy-sur-Aisne
billy-sur-ourcq,Billy-sur-Ourcq
blanzy-les-fismes,Blanzy-lès-Fismes
blerancourt,Blérancourt
blesmes,Blesmes
bohain-en-vermandois,Bohain-en-Vermandois
bois-les-pargny,Bois-lès-Pargny
boncourt,Boncourt
bonneil,Bonneil
bonnesvalyn,Bonnesvalyn
bony,Bony
bosmont-sur-serre,Bosmont-sur-Serre
bouconville-vauclair,Bouconville-Vauclair
boue,Boué
bouffignereux,Bouffignereux
bouresches,Bouresches
bourg-et-comin,Bourg-et-Comin
bourguignon-sous-coucy,Bourguignon-sous-Coucy
bourguignon-sous-montbavin,Bourguignon-sous-Montbavin
braine,Braine
brancourt-en-laonnois,Brancourt-en-Laonnois
brancourt-le-grand,Brancourt-le-Grand
brasles,Brasles
bray-saint-christophe,Bray-Saint-Christophe
braye,Braye
braye-en-laonnois,Braye-en-Laonnois
braye-en-thierache,Braye-en-Thiérache
brecy,Brécy
brenelle,Brenelle
breny,Breny
brie,Brie
brissay-choigny,Brissay-Choigny
brissy-hamegicourt,Brissy-Hamégicourt
brumetz,Brumetz
brunehamel,Brunehamel
bruyeres-et-montberault,Bruyères-et-Montbérault
bruyeres-sur-fere,Bruyères-sur-Fère
bruys,Bruys
bucilly,Bucilly
bucy-le-long,Bucy-le-Long
bucy-les-cerny,Bucy-lès-Cerny
bucy-les-pierrepont,Bucy-lès-Pierrepont
buire,Buire
buironfosse,Buironfosse
burelles,Burelles
bussiares,Bussiares
buzancy,Buzancy
caillouel-crepigny,Caillouël-Crépigny
camelin,Camelin
castres,Castres
caulaincourt,Caulaincourt
caumont,Caumont
celles-les-conde,Celles-lès-Condé
celles-sur-aisne,Celles-sur-Aisne
cerizy,Cerizy
cerny-en-laonnois,Cerny-en-Laonnois
cerny-les-bucy,Cerny-lès-Bucy
cerseuil,Cerseuil
cessieres,Cessières
chacrise,Chacrise
chaillevois,Chaillevois
chalandry,Chalandry
chambry,Chambry
chamouille,Chamouille
champs,Champs
chaourse,Chaourse
charly-sur-marne,Charly-sur-Marne
charmes,Charmes
charteves,Chartèves
chassemy,Chassemy
chateau-thierry,Château-Thierry
chatillon-les-sons,Châtillon-lès-Sons
chatillon-sur-oise,Châtillon-sur-Oise
chaudardes,Chaudardes
chaudun,Chaudun
chauny,Chauny
chavignon,Chavignon
chavigny,Chavigny
chavonne,Chavonne
cheret,Chérêt
chermizy-ailles,Chermizy-Ailles
chery-chartreuve,Chéry-Chartreuve
chery-les-pouilly,Chéry-lès-Pouilly
chery-les-rozoy,Chéry-lès-Rozoy
chevennes,Chevennes
chevregny,Chevregny
chevresis-monceau,Chevresis-Monceau
chezy-en-orxois,Chézy-en-Orxois
chezy-sur-marne,Chézy-sur-Marne
chierry,Chierry
chigny,Chigny
chivres-en-laonnois,Chivres-en-Laonnois
chivres-val,Chivres-Val
chivy-les-etouvelles,Chivy-lès-Etouvelles
chouy,Chouy
cierges,Cierges
cilly,Cilly
ciry-salsogne,Ciry-Salsogne
clacy-et-thierret,Clacy-et-Thierret
clairfontaine,Clairfontaine
clamecy,Clamecy
clastres,Clastres
clermont-les-fermes,Clermont-les-Fermes
coeuvres-et-valsery,Coeuvres-et-Valsery
coincy,Coincy
coingt,Coingt
colligis-crandelain,Colligis-Crandelain
colonfay,Colonfay
commenchon,Commenchon
concevreux,Concevreux
conde-en-brie,Condé-en-Brie
conde-sur-aisne,Condé-sur-Aisne
conde-sur-suippe,Condé-sur-Suippe
condren,Condren
connigis,Connigis
contescourt,Contescourt
corbeny,Corbeny
corcy,Corcy
coucy-la-ville,Coucy-la-Ville
coucy-le-chateau-auffrique,Coucy-le-Château-Auffrique
coucy-les-eppes,Coucy-lès-Eppes
coulonges-cohan,Coulonges-Cohan
coupru,Coupru
courbes,Courbes
courboin,Courboin
courcelles-sur-vesle,Courcelles-sur-Vesle
courchamps,Courchamps
courmelles,Courmelles
courmont,Courmont
courtemont-varennes,Courtemont-Varennes
courtrizy-et-fussigny,Courtrizy-et-Fussigny
couvrelles,Couvrelles
couvron-et-aumencourt,Couvron-et-Aumencourt
coyolles,Coyolles
cramaille,Cramaille
craonne,Craonne
craonnelle,Craonnelle
crecy-au-mont,Crécy-au-Mont
crecy-sur-serre,Crécy-sur-Serre
crepy,Crépy
crezancy,Crézancy
croix-fonsomme,Croix-Fonsomme
crouttes-sur-marne,Crouttes-sur-Marne
crouy,Crouy
crupilly,Crupilly
cuffies,Cuffies
cugny,Cugny
cuirieux,Cuirieux
cuiry-housse,Cuiry-Housse
cuiry-les-chaudardes,Cuiry-lès-Chaudardes
cuiry-les-iviers,Cuiry-lès-Iviers
cuissy-et-geny,Cuissy-et-Geny
cuisy-en-almont,Cuisy-en-Almont
cutry,Cutry
cys-la-commune,Cys-la-Commune
dagny-lambercy,Dagny-Lambercy
dallon,Dallon
dammard,Dammard
dampleux,Dampleux
danizy,Danizy
dercy,Dercy
deuillet,Deuillet
dhuizel,Dhuizel
dizy-le-gros,Dizy-le-Gros
dohis,Dohis
dolignon,Dolignon
dommiers,Dommiers
domptin,Domptin
dorengt,Dorengt
douchy,Douchy
dravegny,Dravegny
droizy,Droizy
dury,Dury
ebouleau,Ebouleau
effry,Effry
englancourt,Englancourt
epagny,Epagny
eparcy,Eparcy
epaux-bezu,Epaux-Bézu
epieds,Epieds
eppes,Eppes
erlon,Erlon
erloy,Erloy
esqueheries,Esquéhéries
essigny-le-grand,Essigny-le-Grand
essigny-le-petit,Essigny-le-Petit
essises,Essises
essomes-sur-marne,Essômes-sur-Marne
estrees,Estrées
etampes-sur-marne,Etampes-sur-Marne
etaves-et-bocquiaux,Etaves-et-Bocquiaux
etouvelles,Etouvelles
etreaupont,Etréaupont
etreillers,Etreillers
etrepilly,Etrépilly
etreux,Etreux
evergnicourt,Evergnicourt
faucoucourt,Faucoucourt
faverolles,Faverolles
fayet,Fayet
fere-en-tardenois,Fère-en-Tardenois
fesmy-le-sart,Fesmy-le-Sart
festieux,Festieux
fieulaine,Fieulaine
filain,Filain
flavigny-le-grand-et-beaurain,Flavigny-le-Grand-et-Beaurain
flavy-le-martel,Flavy-le-Martel
fleury,Fleury
fluquieres,Fluquières
folembray,Folembray
fonsomme,Fonsomme
fontaine-les-clercs,Fontaine-lès-Clercs
fontaine-les-vervins,Fontaine-lès-Vervins
fontaine-notre-dame,Fontaine-Notre-Dame
fontaine-uterte,Fontaine-Uterte
fontenelle,Fontenelle
fontenelle-en-brie,Fontenelle-en-Brie
fontenoy,Fontenoy
foreste,Foreste
fossoy,Fossoy
fourdrain,Fourdrain
francilly-selency,Francilly-Selency
franqueville,Franqueville
fresnes,Fresnes
fresnes-en-tardenois,Fresnes-en-Tardenois
fresnoy-le-grand,Fresnoy-le-Grand
fressancourt,Fressancourt
frieres-faillouel,Frières-Faillouël
froidestrees,Froidestrées
froidmont-cohartille,Froidmont-Cohartille
gandelu,Gandelu
gauchy,Gauchy
gercy,Gercy
gergny,Gergny
germaine,Germaine
gernicourt,Gernicourt
gibercourt,Gibercourt
gizy,Gizy
gland,Gland
glennes,Glennes
goudelancourt-les-berrieux,Goudelancourt-lès-Berrieux
goudelancourt-les-pierrepont,Goudelancourt-lès-Pierrepont
goussancourt,Goussancourt
gouy,Gouy
grand-rozoy,Grand-Rozoy
grand-verly,Grand-Verly
grandlup-et-fay,Grandlup-et-Fay
grandrieux,Grandrieux
gricourt,Gricourt
grisolles,Grisolles
gronard,Gronard
grougis,Grougis
grugies,Grugies
guignicourt,Guignicourt
guise,Guise
guivry,Guivry
guny,Guny
